NumberOfSections,EntryPoint,ImageBase,FileAlignment,SizeOfImage,DllCharacteristics,SectionsMeanEntropy,Hazard,filename
3,1216944,4194304,512,1224704,0,3.685165747214672,1.0,33de28ce42ab40a86a99232bd316fd817aa7f9399ebc50ec132d93bb1e5668b5
5,99600,4194304,512,237568,33088,5.019467509566635,1.0,0c959063e227ad13e8b373cb073d4edb622c94e834634d010b4565b9987815a9
8,27456,4194304,512,57344,0,3.0474796992044033,1.0,f8492ab27ee166ea458afece2b9a464e1fb4b26b86728314247189bc9278fc50
3,118718,4194304,512,139264,1024,2.8771321316241103,1.0,9b61103439b8a1658e33fb5703e4aadf6efdfa53a324dd37c2154a483860cf80
3,81568,4194304,512,90112,0,3.6753867780275766,1.0,8702eaeb74d96936fb477e35a970a7f4638d5d72e75999a905f7309302a6905a
5,4096,4194304,512,675840,0,6.299512787977994,1.0,b9ad6be9d3eb857b6dbcae6371311abc111f0a4ee6811376f8e6004e143f12e5
8,23532,4194304,512,61440,0,3.288353438488558,1.0,c73e85e0b2de80fd187879b8704f46e976aa1e61507b8a469bdf826d2b36c09d
5,28216,4194304,512,36864,0,2.656059760443877,1.0,b5c6e12450f28cfa8c61139698813a9faad17901997e2bf94de670c12dde0d50
2,80421,4194304,512,139264,0,3.9949707667449905,1.0,ad9c74d0139c57324649bcf1c7639888fb8949265b1e0c11cc06fef2569394a1
10,61747,4194304,512,61952,0,1.7964121608130497,1.0,c017a44bc71dadaeff743c0f03fec1dd9e31fb9920aed631487eeed78dd0bef6
5,1949697,4194304,512,1961984,0,4.461779970925538,1.0,d0d8eb98e16885b4a768333a44a50865c6571138244897b9f5ae31678fe52662
3,11140,4194304,512,139264,0,5.555002940895148,1.0,962f2b9c472654a58541c2da0ec0aa0db33b49e2c595230f2dbfb193901144ef
8,41356,4194304,512,380928,0,2.9758967328952686,1.0,8d67354e84e64202526c3d0663190bba4313836089bc3f705abe2958a30509d8
3,52304,4194304,512,57344,0,3.301120494703886,1.0,f445e2cca1a23be908c0b3e424125d243570c4598bb63134841d616e4af22bd7
1,4976,4194304,512,8192,0,5.363019288761321,1.0,94db77a0652bf11758f15b83ac72ad759a751621becbf7a127f0f513e73d7a81
4,7631,4194304,4096,36864,0,4.256234943988034,1.0,507189084a97e46e9d536e167c63d8544787fef9549685279f3474a307073958
5,4236,4194304,512,36864,0,3.258011106650419,1.0,b6a1bc565f3ee829d5672221e8c0298623d1ef90220c5f406e7731510668fbf8
5,24475,4194304,4096,2076672,0,6.090749951407954,1.0,b9c78327eb91b44856f797f16ab44bc1ee7d5e9f44b88c4232abe820ae51c281
6,4378,6291456,512,1273856,64,5.44522376805084,1.0,aa8ee7712fc6ec13fd7255baf4dc3a4d27385a95951e47ab27f862066210de7e
8,12564,305135616,512,192512,0,2.4851331269007986,1.0,ba36fe915af9ccbcf075ab30311a85c1f485da5b41b7cd05548551fdc9a59830
5,4096,4194304,512,368640,0,6.353722856448106,1.0,992472ff19edb532871e45221d074446748a7a7ec41c4f1b0c13680f7b5be28f
8,306036,4194304,512,389120,0,3.369077542273234,1.0,ae9844c6ae477fe4824e78d1d3b020e90055743cd44d6fa37fecdad0dff47091
4,81928,4194304,4096,192512,0,4.657820447640436,1.0,3b4ff08eee19b95bd8a66b2c3e148c4483d18c2a625317f1dfc4f83131e4ad68
4,29822,4194304,512,139264,34112,3.9521932085870506,1.0,c32a682a4536ffde65153818ad67a27eeca7fd0b228935f5d582ff0eedc2e671
3,4460,4194304,4096,36864,0,1.6093700700722626,1.0,2dc09870b37f1f67e3b9cacb21aa4611c817f4f5f14028ed1de5f44cf9774e8b
4,8859,4194304,4096,516096,0,2.3123744529039927,1.0,78a4afb40c6ce033ec56cd21cff2cdb9f1abf1aa2da1cd539fc5ae28eb4d9f82
2,5513,5505024,512,221184,0,4.497990036321064,1.0,1028b667d91eacfdfbf1cd364d6f60e73155fcabbc407ba939346177a338a740
4,5520,4194304,512,53248,0,2.4968773766578316,1.0,d08a2d1b1fa0b321c54d283614e169a8489a04b9b824f340c812c2fe2279455b
4,16367,4194304,4096,32768,0,3.319664141494955,1.0,4f931c76fbf21c847a6fdf374e5c0c885c6090f65dd706e03b4361895459ebc8
3,125552,4194304,512,131072,0,3.6621847312796056,1.0,9109126090d73e6e54230b5768b56191badf7b03a0fc023726eee31db4874256
6,8080,268435456,4096,241664,0,3.0092590118657956,1.0,85f93b4dc09d1aed339e68fba701231afce52d4fa585be4938e84472b5e07641
4,77958,4194304,4096,294912,0,5.230913879002265,1.0,b343401a985b78ab20f7530df40daa1ce60afc057ea6f99c41f67bba0c5b9498
3,4404,4194304,4096,147456,0,2.3130782709631497,1.0,ff04b2963fca724168e2dd43e5e3cd0c44a9a2eddf95350566232d733a9299f9
1,4096,4194304,512,28672,0,7.7014317866559665,1.0,ab41ae75a30ac84e294a81102773359aad07e4486b5991b72039e8d8e0cfd257
3,48816,268435456,512,57344,0,3.779137091639635,1.0,95204cf0e596440308af844901cbf097ac53b22943d787d364342f11fd09df4c
5,20944,268435456,512,6688768,0,3.521161501779055,1.0,a77913aebe97541a0652d50fa9083da302283575063a0072ab67cdf2505112dd
8,57768,4194304,512,331776,0,3.5806241417555933,1.0,54a7410701f9c2459855a219c04b673c0c27fa7d9122d075f5ff6be64de671e8
5,4524,4194304,512,36864,0,3.838367865739241,1.0,91109b75637100aa8b6b80426b052dba267a0aa2f696c70bd23dddc909e27829
5,4096,4194304,512,32768,0,2.7074505465446874,1.0,f989c4b937bc69ffbe3226a5e90e15377003ef437cc3f5aeb692dc88f554259e
6.0,153408.0,5368709120.0,512.0,233472.0,49504.0,4.022669085232811,0.0,OSPPREARM.EXE
12.0,1355520.0,5368709120.0,512.0,3084288.0,49504.0,4.039636561679349,0.0,chrome.exe
4.0,4596.0,4194304.0,512.0,950272.0,0.0,7.975700167579627,1.0,5eef7fad5148e95a7897f1aa2d7fec72bbc8bcb8e5d4b5261bd388c6143cf613
9.0,13879021.0,4194304.0,512.0,13914112.0,0.0,5.75808205217204,1.0,015694471411c812ba547347db5f46c1528cb5d4fc77d985ead8e0970178d176
2.0,512.0,4194304.0,64.0,2560.0,0.0,5.586264027617629,1.0,5df650e051514c8210ce736b67bc22f45f16444ddd634f182420da21f74b5fa5
5.0,9169.0,268435456.0,4096.0,49152.0,0.0,2.3950866425601154,1.0,056691d4a29152932ec4c4e61fcd6071579f6e593c3dab63d1b2c94c6fd51e42
3.0,32608.0,4194304.0,512.0,40960.0,0.0,3.4882138148444746,1.0,739987f1983f0c75bbb1be241087910d479e2559d02d067ba0aa5ed5c13ed3ff
8.0,4704.0,5368709120.0,4096.0,548864.0,49504.0,1.9571932033267674,0.0,wab.exe
4,9666,4194304,4096,24576,0,4.104429657530037,1.0,387fbee28cd5ede29d5bd7c107b49e0c4b466c506c18a0a439e395001ba523f0
3,5040,4194304,4096,188416,0,3.1839489376437218,1.0,d9509ed331907556d6149d1a945425ac483b5387862393247d2841efe46e26bb
3,4096,4194304,512,94208,0,4.769313542083196,1.0,629db18162339eb857d67e3b27e0794d51996db2b153bd30328ba19a3fcd601b
3,138526,4194304,512,155648,34112,3.984107449907747,1.0,e576565c0e5ba34b350f08cd42c6ecd40b3328903f88ddd1539fab6b72a35262
3,9961264,15728640,512,10477568,0,5.306158266286961,1.0,364040375650bf968b7503de130ecf17b8194f47825847e98149446acd741e50
6,14819,4194304,512,2113536,34112,3.7237243658740726,1.0,f3f8f99cfb9bf943038704650912596993a339afeec5e0db5afdadd3a8b66094
5,148842,4194304,512,221184,0,3.632274442605213,1.0,5cd346bce46431bbf5eb546a0447197394b39d95e602c2879c9bd1aa9e355cd1
3,9961264,15728640,512,10477568,0,5.306158266286961,1.0,2320d0a07b733655e9de57bc1a11888736b7ad37d11f63e48f6552c10d4c3609
19,4716,4194304,512,196608,0,3.5954127537007903,1.0,cd12060fcbcd85b2648b0a2bb17e5ea5d14c26696a0ed629c0a4d858956227df
8,446964,4194304,512,1912832,0,3.448029648726123,1.0,97437cdf7f697beb41d574eac907b4747dbaed7fa288a8aed6a0fa0f802efaae
8,446964,4194304,512,1912832,0,3.448029648726123,1.0,89f7049af416064c4b4e5f981fdf26b6f56c5a1240fc71a85b54b9fff9842301
8,446964,4194304,512,1912832,0,3.448029648726123,1.0,3013cee3fcb0590901f2b19b3f71510c35b7020b8cfa7d5e02452fb2408e011a
8,446964,4194304,512,1912832,0,3.448029648726123,1.0,cdb17ce110bd959b393bd0cc7ec048034abe57b467af0ef31f8eb582cd58ecac
3,9961264,15728640,512,10477568,0,5.306158266286961,1.0,6da00247e52787bb44caf372ced4e7aa6592cd4490748b9df92c68d076d6388a
